Timestamp (ms),Smoothed Speed (mm/s)
1630002066704,1611.4180549143393
1630002066720,1602.4776201065224
1630002066737,1640.5650581049038
1630002066754,1755.223776590963
1630002066770,1734.0382296187786
1630002066787,1689.4421751990099
1630002066804,1714.681859709187
1630002066820,1666.461762521192
1630002066837,1574.918826250016
1630002066854,1510.6469259765693
1630002066870,1500.6019640839097
1630002066887,1505.0641978087558
1630002066904,1629.6596450696438
1630002066920,1712.5098680511933
1630002066937,1675.739116985564
1630002066954,1676.0438784989271
1630002066970,1706.8355122036526
1630002066987,1645.804519913382
1630002067004,1689.001538081345
1630002067020,1621.0673490956706
1630002067037,1610.594281844412
1630002067054,1598.7523368606905
1630002067070,1620.4170510027343
1630002067087,1628.284843413021
1630002067104,1625.4721872187215
1630002067120,1559.4409568730568
1630002067137,1621.0249598827793
1630002067154,1567.669390293717
1630002067170,1613.5994436259364
1630002067187,1573.6705258955396
1630002067204,1541.9329589159074
1630002067220,1542.680647538685
1630002067237,1506.8977348001172
1630002067254,1473.4000325677334
1630002067270,1475.6415101312266
1630002067287,1460.1714260589667
1630002067304,1422.6639202503168
1630002067320,1405.336792193814
1630002067337,1383.9072168354314
1630002067354,1359.2825735550475
1630002067370,1340.9457641800066
1630002067387,1357.8120401746644
1630002067404,1437.713783566158
1630002067420,1417.7660264965104
1630002067437,1391.9224967493685
1630002067454,1359.928066317148
1630002067470,1366.2306569619857
1630002067487,1390.1270826805671
1630002067504,1457.2895184493218
1630002067520,1432.4775782504285
1630002067537,1424.4181745867093
1630002067554,1451.921551424832
1630002067570,1466.9760234107011
1630002067587,1422.4333909330744
1630002067604,1494.9785056132735
1630002067620,1530.8063459650646
1630002067637,1567.8466074282146
1630002067654,1508.9535991549021
1630002067670,1556.3653554437549
1630002067687,1525.6529404239511
1630002067704,1454.8385068630614
1630002067720,1456.1219367317674
1630002067737,1429.4756759304692
1630002067754,1382.4439236005871
1630002067770,1393.0033579542137
1630002067787,1361.6950390295874
1630002067804,1393.3486507704315
1630002067820,1363.8648357612171
1630002067837,1373.2537490853124
1630002067854,1443.930598773373
1630002067870,1549.429771631594
1630002067887,1544.5131213885113
1630002067904,1566.8188081094522
1630002067920,1551.4715725332267
1630002067937,1585.7368772043308
1630002067954,1663.3382067622513
1630002067970,1678.263113213287
1630002067987,1650.3637979395498
1630002068004,1684.4053519806419
1630002068020,1652.777440835013
1630002068037,1669.0029971976912
1630002068054,1682.2805213449526
1630002068070,1727.5482965683775
1630002068087,1702.7367025259025
1630002068104,1673.7203003698496
1630002068120,1658.0691467176819
1630002068154,1993.7748902259932
1630002068170,2011.1204807429544
1630002068187,1966.5840262662514
1630002068204,2110.1719401318314
1630002068220,2114.0914097263203
1630002068237,2042.0828756967812
1630002068254,2067.375796135612
1630002068270,2027.0459791578903
1630002068287,2008.4731014066454
1630002068304,1989.7690039322317
1630002068320,1908.926717172424
1630002068337,1889.0669735659794
1630002068354,1828.323071576613
1630002068371,1767.9329182892777
1630002068387,1781.9854540671456
1630002068404,1755.4483754782634
1630002068420,1694.9473674523415
1630002068437,1659.732220853556
1630002068454,1621.6089854457052
1630002068470,1652.62954440442
1630002068487,1723.2050914113554
1630002068504,1697.8188474592928
1630002068520,1754.883251844558
1630002068537,1755.3588759497188
1630002068554,1827.6547035226413
1630002068570,1840.9253468757454
1630002068587,1865.2261270640463
1630002068604,1822.0946800590732
1630002068620,1851.981364305362
1630002068637,1810.5881836100734
1630002068654,1817.6219017114595
1630002068670,1760.6434903897784
1630002068687,1715.216736201076
1630002068704,1680.6461992247582
1630002068720,1762.7280114131913
1630002068737,1695.7740545935474
1630002068754,1655.4026506151026
1630002068770,1926.9425212034696
1630002068787,1849.6203255404046
1630002068804,1927.9075056132838
1630002068820,1856.6475890741128
1630002068837,1807.3554386938185
1630002068854,1760.909861954073
1630002068870,1987.2589342190067
1630002068887,1906.5681213444816
1630002068904,1895.7599818644753
